"empresa","ano","retorno_anual","ceo","chairman","ibrx","ceo_chair"
"ABYA3",2009,2.79,0,0,1,0
"ABYA3",2010,NA,0,0,0,0
"ABYA3",2011,NA,0,0,0,0
"ABYA3",2012,NA,0,0,0,0
"ABYA3",2013,NA,0,0,0,0
"ABYA3",2014,NA,0,0,0,0
"ABYA3",2015,NA,0,0,0,0
"ABYA3",2016,NA,0,0,0,0
"ABYA3",2017,NA,0,0,0,0
"ABYA3",2018,NA,0,0,0,0
"ABYA3",2019,NA,0,0,0,0
"TIET11",2009,0.52,0,0,1,0
"TIET11",2010,0.33,0,0,1,0
"TIET11",2011,0.27,0,0,1,0
"TIET11",2012,-0.02,0,0,1,0
"TIET11",2013,-0.09,0,0,1,0
"TIET11",2014,0.09,0,0,1,0
"TIET11",2015,-0.17,0,0,1,0
"TIET11",2016,NA,0,0,0,0
"TIET11",2017,NA,0,0,0,0
"TIET11",2018,NA,0,0,0,0
"TIET11",2019,NA,0,0,0,0
"AGIN3",2009,1.79,0,0,1,0
"AGIN3",2010,NA,0,0,0,0
"AGIN3",2011,NA,0,0,0,0
"AGIN3",2012,NA,0,0,0,0
"AGIN3",2013,NA,0,0,0,0
"AGIN3",2014,NA,0,0,0,0
"AGIN3",2015,NA,0,0,0,0
"AGIN3",2016,NA,0,0,0,0
"AGIN3",2017,NA,0,0,0,0
"AGIN3",2018,NA,0,0,0,0
"AGIN3",2019,NA,0,0,0,0
"KSSA3",2009,1.11,0,0,1,0
"KSSA3",2010,NA,0,0,0,0
"KSSA3",2011,NA,0,0,0,0
"KSSA3",2012,NA,0,0,0,0
"KSSA3",2013,NA,0,0,0,0
"KSSA3",2014,NA,0,0,0,0
"KSSA3",2015,NA,0,0,0,0
"KSSA3",2016,NA,0,0,0,0
"KSSA3",2017,NA,0,0,0,0
"KSSA3",2018,NA,0,0,0,0
"KSSA3",2019,NA,0,0,0,0
"ALSC3",2009,NA,1,1,0,1
"ALSC3",2010,NA,1,1,0,1
"ALSC3",2011,NA,1,1,0,1
"ALSC3",2012,NA,1,1,0,1
"ALSC3",2013,NA,1,1,0,1
"ALSC3",2014,NA,1,1,0,1
