empresa,ano,retorno_anual,ceo,chairman,ibrx,industria
ABYA3,2009,2.79,0,0,1,
TIET11,2009,0.52,0,0,1,
TIET11,2010,0.33,0,0,1,
TIET11,2011,0.27,0,0,1,
TIET11,2012,-0.02,0,0,1,
TIET11,2013,-0.09,0,0,1,
TIET11,2014,0.09,0,0,1,
TIET11,2015,-0.17,0,0,1,
AGIN3,2009,1.79,0,0,1,
KSSA3,2009,1.11,0,0,1,
ALSC3,2016,0.32,1,1,1,
ALSC3,2017,0.24,1,1,1,
ALLL11,2009,0.64,0,0,1,
ALPA4,2016,0.52,0,0,1,
ALUP11,2017,0.15,0,0,1,
ALUP11,2018,0.03,0,0,1,
ABEV3,2009,0.8,0,0,1,
ABEV3,2010,0.51,0,0,1,
ABEV3,2011,0.4,0,0,1,
ABEV3,2012,0.33,0,0,1,
ABEV3,2013,0.03,0,0,1,
ABEV3,2014,-0.01,0,0,1,
ABEV3,2015,0.14,0,0,1,
ABEV3,2016,-0.07,0,0,1,
ABEV3,2017,0.35,0,0,1,
ABEV3,2018,-0.25,0,0,1,
ABEV3,2019,0.25,0,0,1,
AMIL3,2010,0.31,1,1,1,
AMIL3,2011,-0.05,1,1,1,
AMIL3,2012,0.89,1,1,1,
AEDU3,2011,-0.49,0,1,1,
AEDU3,2012,0.74,0,1,1,
AEDU3,2013,0.29,0,1,1,
ANIM3,2015,-0.6,1,0,1,
ARZZ3,2018,0.03,0,0,1,
ARTR3,2012,0.63,0,0,1,
ARTR3,2013,0.03,0,0,1,
ARTR3,2014,-0.33,0,0,1,
CRFB3,2018,0.21,0,0,1,
CRFB3,2019,0.31,0,0,1,
AZUL4,2018,0.34,0,1,1,
AZUL4,2019,0.62,0,1,1,
BTOW3,2009,1.02,0,0,1,
BTOW3,2010,-0.34,0,0,1,
BTOW3,2011,-0.71,0,0,1,
BTOW3,2012,0.9,0,0,1,
BTOW3,2013,-0.1,0,0,1,
BTOW3,2014,0.63,0,0,1,
BTOW3,2015,-0.32,0,0,1,
BTOW3,2016,-0.33,0,0,1,
BTOW3,2017,1.07,0,0,1,
BTOW3,2018,1.05,0,0,1,
BTOW3,2019,0.51,0,0,1,
BBDC4,2009,0.65,0,0,1,
BBDC4,2010,0.12,0,0,1,
BBDC4,2011,-0.02,0,0,1,
BBDC4,2012,0.19,0,0,1,
BBDC4,2013,-0.06,0,0,1,
BBDC4,2014,0.25,0,0,1,
BBDC4,2015,-0.3,0,0,1,
BBDC4,2016,0.7,0,0,1,
BBDC4,2017,0.36,0,0,1,
BBDC4,2018,0.3,0,0,1,
